VOLUME_ID,FILE_SPECIFICATION_NAME,INSTRUMENT_HOST_ID,INSTRUMENT_ID,ORIGINAL_PRODUCT_ID,PRODUCT_ID,PRODUCT_VERSION_ID,TARGET_NAME,ORBIT_NUMBER,SLEW_ANGLE,MISSION_PHASE_NAME,RATIONALE_DESC,DATA_QUALITY_ID,NAC_PREROLL_START_TIME,START_TIME,STOP_TIME,SPACECRAFT_CLOCK_PARTITION,NAC_SPACECRAFT_CLOCK_PREROLL_COUNT,SPACECRAFT_CLOCK_START_COUNT,SPACECRAFT_CLOCK_STOP_COUNT,START_SCLK_SECONDS,START_SCLK_TICKS,STOP_SCLK_SECONDS,STOP_SCLK_TICKS,NAC_LINE_EXPOSURE_DURATION,WAC_EXPOSURE_DURATION,NAC_FRAME_ID,NAC_DAC_RESET,NAC_CHANNEL_A_OFFSET,NAC_CHANNEL_B_OFFSET,INSTRUMENT_MODE_CODE,WAC_INSTRUMENT_MODE_ID,WAC_BAND_CODE,WAC_BACKGROUND_OFFSET,WAC_FILTER_NAME,WAC_NUMBER_OF_FRAMES,WAC_INTERFRAME_TIME,WAC_INTERFRAME_CODE,WAC_MODE_POLAR,COMPAND_SELECT_CODE,MODE_COMPRESSION,MODE_TEST,NAC_TEMPERATURE_SCS,NAC_TEMPERATURE_FPA,NAC_TEMPERATURE_FPGA,NAC_TEMPERATURE_TELESCOPE,WAC_BEGIN_TEMPERATURE_SCS,WAC_MIDDLE_TEMPERATURE_SCS,WAC_END_TEMPERATURE_SCS,WAC_BEGIN_TEMPERATURE_FPA,WAC_MIDDLE_TEMPERATURE_FPA,WAC_END_TEMPERATURE_FPA,IMAGE_LINES,LINE_SAMPLES,SAMPLE_BITS,SCALED_PIXEL_WIDTH,SCALED_PIXEL_HEIGHT,RESOLUTION,EMISSION_ANGLE,INCIDENCE_ANGLE,PHASE_ANGLE,NORTH_AZIMUTH,SUB_SOLAR_AZIMUTH,SUB_SOLAR_LATITUDE,SUB_SOLAR_LONGITUDE,SUB_SPACECRAFT_LATITUDE,SUB_SPACECRAFT_LONGITUDE,SOLAR_DISTANCE,SOLAR_LONGITUDE,CENTER_LATITUDE,CENTER_LONGITUDE,UPPER_RIGHT_LATITUDE,UPPER_RIGHT_LONGITUDE,LOWER_RIGHT_LATITUDE,LOWER_RIGHT_LONGITUDE,LOWER_LEFT_LATITUDE,LOWER_LEFT_LONGITUDE,UPPER_LEFT_LATITUDE,UPPER_LEFT_LONGITUDE,SPACECRAFT_ALTITUDE,TARGET_CENTER_DISTANCE,ORBIT_NODE,LRO_FLIGHT_DIRECTION
 LROLRC_0028,  LRO-L-LROC-2-EDR-V1.0/LROLRC_0028/DATA/ESM2/2016227/NAC/M1225822680LE.IMG,LRO,LROC,nacl00182cf4,M1225822680LE,        v1.8, MOON,32201,-0.009,SECOND EXTENDED SCIENCE MISSION,                                                      TARGET OF OPPORTUNITY,0, 2016-08-14 14:03:32.391, 2016-08-14 14:03:33.431, 2016-08-14 14:04:19.221,1,492876212:23265, 492876213:25930, 492876259:12153,492876213,25930,492876259,12153,0.001011733,9.99999, LEFT,200,51,51,15,  N/A,999,999,                                   N/A,99999,9999.99,999,9,3,1,0,15.812,21.643,-4.387,22.453,9999.999,9999.999,9999.999,9999.999,9999.999,9999.999,45056,2532,8,0.87,1.66,1.264,1.69,83.78,84.12,275.12,259.95,-0.61,41.93,-84.12,59.53,151785545.8,338.24,-84.09,59.88,-83.01,54.55,-85.15,66.81,-85.11,67.5,-82.98,55.09,43.4,1780.8,D,+X
" LROLRC_0001","    LRO-L-LROC-2-EDR-V1.0/LROLRC_0001/DATA/COM/2009219/NAC/M104299437RE.IMG","LRO","LROC","nacr00003476"," M104299437RE","        v1.8"," MOON",  531,   0.011,"                  COMMISSIONING","                                                      TARGET OF OPPORTUNITY", 36," 2009-08-07 15:49:30.058"," 2009-08-07 15:49:30.756"," 2009-08-07 15:50:06.372"," 1","271352969:64880"," 271352970:45111"," 271353006:19956",271352970,  45111,271353006,  19956,0.000678933,9.99999,"RIGHT", 188, 84, 84, 11,"  N/A",999,999,"                                   N/A",99999,9999.99,999,9,3,0,0,   3.657,  17.521, -11.581,  11.414,9999.999,9999.999,9999.999,9999.999,9999.999,9999.999, 52224,2532, 8,   0.94,  1.12,  1.030, 1.14, 86.77, 85.88,121.47,145.69, -0.42,338.44,-85.57, 28.59,152075935.9,194.37,-85.57, 28.98,-84.61, 30.22,-86.53, 28.38,-86.52, 27.09,-84.60, 29.38,  47.32,1784.70,"D","-X"
